species,genus,family
Mandevilla arenicola,Mandevilla,Apocynaceae
Mandevilla hatschbachii,Mandevilla,Apocynaceae
Cyclophyllum guillauminianum,Cyclophyllum,Rubiaceae
Cyclophyllum tiebaghiense,Cyclophyllum,Rubiaceae
Cyclophyllum jasminifolium,Cyclophyllum,Rubiaceae
Ernodea littoralis,Ernodea,Rubiaceae
Mandevilla callacatensis,Mandevilla,Apocynaceae
Mandevilla lucida,Mandevilla,Apocynaceae
Mandevilla nerioides,Mandevilla,Apocynaceae
Hippotis antioquiana,Hippotis,Rubiaceae
Mandevilla horrida,Mandevilla,Apocynaceae
Duroia maguirei,Duroia,Rubiaceae
Duroia sancti-ciprianii,Duroia,Rubiaceae
Mandevilla cuneifolia,Mandevilla,Apocynaceae
Mandevilla dissimilis,Mandevilla,Apocynaceae
Mandevilla duartei,Mandevilla,Apocynaceae
Pachypodium eburneum,Pachypodium,Apocynaceae
Pittoniotis trichantha,Pittoniotis,Rubiaceae
Cyclophyllum longipetalum,Cyclophyllum,Rubiaceae
Irlbachia phelpsiana,Irlbachia,Gentianaceae
Hippotis triflora,Hippotis,Rubiaceae
Hippotis brevistipula,Hippotis,Rubiaceae
Isertia psammophila,Isertia,Rubiaceae
Melodinus acutiflorus,Melodinus,Apocynaceae
Melodinus cumingii,Melodinus,Apocynaceae
Melodinus glaber,Melodinus,Apocynaceae
Melodinus reticulatus,Melodinus,Apocynaceae
Cynanchum fasciculiflorum,Cynanchum,Apocynaceae
Cynanchum lanhsuense,Cynanchum,Apocynaceae
Cynanchum umtalense,Cynanchum,Apocynaceae
Rondeletia intermixta,Rondeletia,Rubiaceae
Cerbera floribunda,Cerbera,Apocynaceae
Gardenia brevicalyx,Gardenia,Rubiaceae
Gardenia fosbergii,Gardenia,Rubiaceae
Gardenia leschenaultii,Gardenia,Rubiaceae
Peponidium pervilleanoides,Peponidium,Rubiaceae
Gardenia epiphytica,Gardenia,Rubiaceae
Mitrasacme stellata,Mitrasacme,Loganiaceae
Mitrasacme latiflora,Mitrasacme,Loganiaceae
Mitrasacme foliosa,Mitrasacme,Loganiaceae
Rondeletia laevigata,Rondeletia,Rubiaceae
Rondeletia perfae,Rondeletia,Rubiaceae
Cynanchum longipes,Cynanchum,Apocynaceae
Cynanchum papillatum,Cynanchum,Apocynaceae
Kraussia speciosa,Kraussia,Rubiaceae
Rondeletia adamsii,Rondeletia,Rubiaceae
Rondeletia cumanensis,Rondeletia,Rubiaceae
Rondeletia daphnoides,Rondeletia,Rubiaceae
Emicocarpus fissifolius,Emicocarpus,Apocynaceae
Gardenia dacryoides,Gardenia,Rubiaceae
Gardenia hainanensis,Gardenia,Rubiaceae
Gardenia latifolia,Gardenia,Rubiaceae
Gardenia philastrei,Gardenia,Rubiaceae
Gardenia propinqua,Gardenia,Rubiaceae
Peponidium tsaratananense,Peponidium,Rubiaceae
Mitrasacme polymorpha,Mitrasacme,Loganiaceae
Mitrasacme retroloba,Mitrasacme,Loganiaceae
Rondeletia camarioca,Rondeletia,Rubiaceae
Rondeletia plicatula,Rondeletia,Rubiaceae
Cynanchum decaryi,Cynanchum,Apocynaceae
Cynanchum petignatii,Cynanchum,Apocynaceae
Cynanchum rossii,Cynanchum,Apocynaceae
Cynanchum schistoglossum,Cynanchum,Apocynaceae
Cynanchum staubii,Cynanchum,Apocynaceae
Lathraeocarpa acicularis,Lathraeocarpa,Rubiaceae
Staelia reflexa,Staelia,Rubiaceae
Staelia culcita,Staelia,Rubiaceae
Staelia nelidae,Staelia,Rubiaceae
Pentasacme tubulosum,Pentasacme,Apocynaceae
Mitrasacme bogoriensis,Mitrasacme,Loganiaceae
Mitrasacme laevis,Mitrasacme,Loganiaceae
Telosma thailandica,Telosma,Apocynaceae
Rondeletia ochracea,Rondeletia,Rubiaceae
Cynanchum balense,Cynanchum,Apocynaceae
Cynanchum maasii,Cynanchum,Apocynaceae
Cynanchum macranthum,Cynanchum,Apocynaceae
Cynanchum mahafalense,Cynanchum,Apocynaceae
Cynanchum sinoracemosum,Cynanchum,Apocynaceae
Cynanchum tamense,Cynanchum,Apocynaceae
Rondeletia domatiata,Rondeletia,Rubiaceae
Pentasacme shanense,Pentasacme,Apocynaceae
Cynanchum doleriticum,Cynanchum,Apocynaceae
Gardenia hutchinsoniana,Gardenia,Rubiaceae
Peponidium madagascariense,Peponidium,Rubiaceae
Rondeletia nemoralis,Rondeletia,Rubiaceae
Rondeletia steirophylla,Rondeletia,Rubiaceae
Cynanchum baronii,Cynanchum,Apocynaceae
Cynanchum chinense,Cynanchum,Apocynaceae
Cynanchum graminiforme,Cynanchum,Apocynaceae
Cynanchum guehoi,Cynanchum,Apocynaceae
Cynanchum ledermannii,Cynanchum,Apocynaceae
Cynanchum nielsenii,Cynanchum,Apocynaceae
Cynanchum stenospira,Cynanchum,Apocynaceae
Cynanchum wallichii,Cynanchum,Apocynaceae
Lomatogonium micranthum,Lomatogonium,Gentianaceae
Rondeletia aristeguietae,Rondeletia,Rubiaceae
Rondeletia bissei,Rondeletia,Rubiaceae
Rondeletia cristalensis,Rondeletia,Rubiaceae
Staelia hatschbachii,Staelia,Rubiaceae
Peponidium crassifolium,Peponidium,Rubiaceae
Gardenia brighamii,Gardenia,Rubiaceae
Gardenia invaginata,Gardenia,Rubiaceae
Peponidium lanceolatifolium,Peponidium,Rubiaceae
Rondeletia rigida,Rondeletia,Rubiaceae
Rondeletia vazquezii,Rondeletia,Rubiaceae
Cynanchum corymbosum,Cynanchum,Apocynaceae
Cynanchum cuatrecasasii,Cynanchum,Apocynaceae
Cynanchum mossambicense,Cynanchum,Apocynaceae
Cynanchum purpureiflorum,Cynanchum,Apocynaceae
Cynanchum scopulosum,Cynanchum,Apocynaceae
Kraussia socotrana,Kraussia,Rubiaceae
Rondeletia hirsuta,Rondeletia,Rubiaceae
Cynanchum hubeiense,Cynanchum,Apocynaceae
Gardenia erubescens,Gardenia,Rubiaceae
Gardenia resiniflua,Gardenia,Rubiaceae
Gardenia tannaensis,Gardenia,Rubiaceae
Mitrasacme setosa,Mitrasacme,Loganiaceae
Mitrasacme multicaulis,Mitrasacme,Loganiaceae
Rondeletia parviflora,Rondeletia,Rubiaceae
Rondeletia shaferi,Rondeletia,Rubiaceae
Rondeletia scabrella,Rondeletia,Rubiaceae
Rondeletia subcordata,Rondeletia,Rubiaceae
Cynanchum anderssonii,Cynanchum,Apocynaceae
Cynanchum callialatum,Cynanchum,Apocynaceae
Cynanchum celebicum,Cynanchum,Apocynaceae
Cynanchum decipiens,Cynanchum,Apocynaceae
Cynanchum erythranthum,Cynanchum,Apocynaceae
Cynanchum glomeratum,Cynanchum,Apocynaceae
Cynanchum gonoloboides,Cynanchum,Apocynaceae
Cynanchum menarandrense,Cynanchum,Apocynaceae
Cynanchum violator,Cynanchum,Apocynaceae
Rondeletia nipensis,Rondeletia,Rubiaceae
Rondeletia bicolor,Rondeletia,Rubiaceae
Rondeletia dilatata,Rondeletia,Rubiaceae
Gardenia kabaenensis,Gardenia,Rubiaceae
Gardenia reflexisepala,Gardenia,Rubiaceae
Aitchisonia rosea,Aitchisonia,Rubiaceae
Gardenia ixorifolia,Gardenia,Rubiaceae
Gardenia remyi,Gardenia,Rubiaceae
Gardenia rupicola,Gardenia,Rubiaceae
Gardenia tropidocarpa,Gardenia,Rubiaceae
Mitrasacme patens,Mitrasacme,Loganiaceae
Mitrasacme clarksonii,Mitrasacme,Loganiaceae
Mitrasacme aggregata,Mitrasacme,Loganiaceae
Mitrasacme alsinoides,Mitrasacme,Loganiaceae
Pentasacme malipoense,Pentasacme,Apocynaceae
Rondeletia lucida,Rondeletia,Rubiaceae
Rondeletia papayoensis,Rondeletia,Rubiaceae
Rondeletia tubulosa,Rondeletia,Rubiaceae
Gardenia kamialiensis,Gardenia,Rubiaceae
Cynanchum ansamalense,Cynanchum,Apocynaceae
Cynanchum mevei,Cynanchum,Apocynaceae
Cynanchum phillipsonianum,Cynanchum,Apocynaceae
Cynanchum subpaniculatum,Cynanchum,Apocynaceae
Lomatogoniopsis alpina,Lomatogoniopsis,Gentianaceae
Rondeletia baracoensis,Rondeletia,Rubiaceae
Rondeletia brigandina,Rondeletia,Rubiaceae
Rondeletia diplocalyx,Rondeletia,Rubiaceae
Cynanchum olimpanjehy,Cynanchum,Apocynaceae
Gardenia collinsiae,Gardenia,Rubiaceae
Gardenia pallens,Gardenia,Rubiaceae
Gardenia pterocalyx,Gardenia,Rubiaceae
Mitrasacme neldneri,Mitrasacme,Loganiaceae
Mitrasacme serpyllifolia,Mitrasacme,Loganiaceae
Himatanthus phagedaenicus,Himatanthus,Apocynaceae
Rondeletia petiolata,Rondeletia,Rubiaceae
Cynanchum angavokeliense,Cynanchum,Apocynaceae
Cynanchum duclouxii,Cynanchum,Apocynaceae
Cynanchum itremense,Cynanchum,Apocynaceae
Cynanchum leucophellum,Cynanchum,Apocynaceae
Cynanchum pusilum,Cynanchum,Apocynaceae
Cynanchum brevipedunculatum,Cynanchum,Apocynaceae
Gardenia aubryi,Gardenia,Rubiaceae
Gardenia tessellaris,Gardenia,Rubiaceae
Mitrasacme albomarginata,Mitrasacme,Loganiaceae
Mitrasacme micrantha,Mitrasacme,Loganiaceae
Rondeletia selleana,Rondeletia,Rubiaceae
Rondeletia lindeniana,Rondeletia,Rubiaceae
Rondeletia susannae,Rondeletia,Rubiaceae
Cynanchum kaschgaricum,Cynanchum,Apocynaceae
Cynanchum kintungense,Cynanchum,Apocynaceae
Cynanchum leptostephanum,Cynanchum,Apocynaceae
Cynanchum radiatum,Cynanchum,Apocynaceae
Cynanchum sumbawanum,Cynanchum,Apocynaceae
Lomatogonium chilaiensis,Lomatogonium,Gentianaceae
Kraussia floribunda,Kraussia,Rubiaceae
Rondeletia anguillensis,Rondeletia,Rubiaceae
Staelia catolensis,Staelia,Rubiaceae
Gardenia hillii,Gardenia,Rubiaceae
Gardenia papuana,Gardenia,Rubiaceae
Gardenia stenophylla,Gardenia,Rubiaceae
Gardenia thunbergia,Gardenia,Rubiaceae
Gardenia manongarivensis,Gardenia,Rubiaceae
Gardenia grievei,Gardenia,Rubiaceae
Peponidium ihosyense,Peponidium,Rubiaceae
Peponidium velutinum,Peponidium,Rubiaceae
Mitrasacme galbina,Mitrasacme,Loganiaceae
Mitrasacme graminea,Mitrasacme,Loganiaceae
Lomatogonium cherukurianum,Lomatogonium,Gentianaceae
Rondeletia lomensis,Rondeletia,Rubiaceae
Rondeletia micarensis,Rondeletia,Rubiaceae
Rondeletia miraflorensis,Rondeletia,Rubiaceae
Rondeletia subcanescens,Rondeletia,Rubiaceae
Cynanchum abyssinicum,Cynanchum,Apocynaceae
Cynanchum compactum,Cynanchum,Apocynaceae
Cynanchum danguyanum,Cynanchum,Apocynaceae
Cynanchum otophyllum,Cynanchum,Apocynaceae
Cynanchum paramorum,Cynanchum,Apocynaceae
Cynanchum physocarpum,Cynanchum,Apocynaceae
Cynanchum pycnoneuroides,Cynanchum,Apocynaceae
Cynanchum trollii,Cynanchum,Apocynaceae
Himatanthus semilunatus,Himatanthus,Apocynaceae
Rondeletia feketeana,Rondeletia,Rubiaceae
Gardenia vulcanica,Gardenia,Rubiaceae
Pentasacme pulcherrima,Pentasacme,Apocynaceae
Gardenia cornuta,Gardenia,Rubiaceae
Gardenia fucata,Gardenia,Rubiaceae
Gardenia imperialis,Gardenia,Rubiaceae
Gardenia vitiensis,Gardenia,Rubiaceae
Peponidium capuronii,Peponidium,Rubiaceae
Peponidium homolleae,Peponidium,Rubiaceae
Mitrasacme subvolubilis,Mitrasacme,Loganiaceae
Mitrasacme scopata,Mitrasacme,Loganiaceae
Mitrasacme laricifolia,Mitrasacme,Loganiaceae
Mitrasacme floribunda,Mitrasacme,Loganiaceae
Rondeletia sylvestris,Rondeletia,Rubiaceae
Rondeletia venosa,Rondeletia,Rubiaceae
Rondeletia buxifolia,Rondeletia,Rubiaceae
Rondeletia calophylla,Rondeletia,Rubiaceae
Rondeletia cymulosa,Rondeletia,Rubiaceae
Rondeletia ligulata,Rondeletia,Rubiaceae
Rondeletia linearisepala,Rondeletia,Rubiaceae
Rondeletia paucinervis,Rondeletia,Rubiaceae
Rondeletia portoricensis,Rondeletia,Rubiaceae
Rondeletia holdridgei,Rondeletia,Rubiaceae
Cynanchum arenarium,Cynanchum,Apocynaceae
Cynanchum cristalinense,Cynanchum,Apocynaceae
Cynanchum heteromorphum,Cynanchum,Apocynaceae
Cynanchum riometense,Cynanchum,Apocynaceae
Cynanchum subtilis,Cynanchum,Apocynaceae
Rondeletia anomala,Rondeletia,Rubiaceae
Rondeletia brachyphylla,Rondeletia,Rubiaceae
Rondeletia harrisii,Rondeletia,Rubiaceae
Gardenia annamensis,Gardenia,Rubiaceae
Gardenia fiorii,Gardenia,Rubiaceae
Gardenia panduriformis,Gardenia,Rubiaceae
Gardenia truncata,Gardenia,Rubiaceae
Gardenia vogelii,Gardenia,Rubiaceae
Peponidium humbertii,Peponidium,Rubiaceae
Mitrasacme pygmaea,Mitrasacme,Loganiaceae
Mitrasacme paludosa,Mitrasacme,Loganiaceae
Rondeletia purdiei,Rondeletia,Rubiaceae
Rondeletia racemosa,Rondeletia,Rubiaceae
Rondeletia virgata,Rondeletia,Rubiaceae
Rondeletia chamaebuxifolia,Rondeletia,Rubiaceae
Staelia paganuccii,Staelia,Rubiaceae
Cynanchum andringitrense,Cynanchum,Apocynaceae
Cynanchum beatricis,Cynanchum,Apocynaceae
Cynanchum magale,Cynanchum,Apocynaceae
Cynanchum rubricoronae,Cynanchum,Apocynaceae
Lomatogonium gamosepalum,Lomatogonium,Gentianaceae
Rondeletia larensis,Rondeletia,Rubiaceae
Rondeletia hirta,Rondeletia,Rubiaceae
Gardenia candida,Gardenia,Rubiaceae
Gardenia siphonocalyx,Gardenia,Rubiaceae
Gardenia thailandica,Gardenia,Rubiaceae
Gardenia volkensii,Gardenia,Rubiaceae
Mitrasacme troglodytica,Mitrasacme,Loganiaceae
Gardenia subcarinata,Gardenia,Rubiaceae
Cynanchum alatum,Cynanchum,Apocynaceae
Cynanchum gracillimum,Cynanchum,Apocynaceae
Cynanchum hastifolium,Cynanchum,Apocynaceae
Cynanchum hoedimeerium,Cynanchum,Apocynaceae
Cynanchum lysimachioides,Cynanchum,Apocynaceae
Rondeletia exasperata,Rondeletia,Rubiaceae
Staelia aurea,Staelia,Rubiaceae
Staelia longipedicellata,Staelia,Rubiaceae
Gardenia longistipula,Gardenia,Rubiaceae
Gardenia clemensiae,Gardenia,Rubiaceae
Gardenia griffithii,Gardenia,Rubiaceae
Gardenia lanutoo,Gardenia,Rubiaceae
Gardenia megasperma,Gardenia,Rubiaceae
Gardenia nitida,Gardenia,Rubiaceae
Gardenia storckii,Gardenia,Rubiaceae
Gardenia transvenulosa,Gardenia,Rubiaceae
Peponidium calcaratum,Peponidium,Rubiaceae
Rondeletia savannarum,Rondeletia,Rubiaceae
Rondeletia microcarpa,Rondeletia,Rubiaceae
Rondeletia nimanimae,Rondeletia,Rubiaceae
Rondeletia pulchella,Rondeletia,Rubiaceae
Rondeletia venezuelensis,Rondeletia,Rubiaceae
Cynanchum chouxii,Cynanchum,Apocynaceae
Cynanchum comorense,Cynanchum,Apocynaceae
Cynanchum natalitium,Cynanchum,Apocynaceae
Cynanchum obtusifolium,Cynanchum,Apocynaceae
Cynanchum pedunculatum,Cynanchum,Apocynaceae
Cynanchum tsaratananense,Cynanchum,Apocynaceae
Lomatogonium lijiangense,Lomatogonium,Gentianaceae
Gardenia carinata,Gardenia,Rubiaceae
Cerbera odollam,Cerbera,Apocynaceae
Rondeletia clarendonensis,Rondeletia,Rubiaceae
Rondeletia impressa,Rondeletia,Rubiaceae
Staelia vestita,Staelia,Rubiaceae
Telosma accedens,Telosma,Apocynaceae
Mitrasacme ambigua,Mitrasacme,Loganiaceae
Mitrasacme gentianea,Mitrasacme,Loganiaceae
Rondeletia glauca,Rondeletia,Rubiaceae
Catunaregam pygmaea,Catunaregam,Rubiaceae
Rondeletia orinocensis,Rondeletia,Rubiaceae
Rondeletia panamensis,Rondeletia,Rubiaceae
Cynanchum batangense,Cynanchum,Apocynaceae
Cynanchum giraldii,Cynanchum,Apocynaceae
Cynanchum jumellei,Cynanchum,Apocynaceae
Cynanchum lecomtei,Cynanchum,Apocynaceae
Cynanchum elegans,Cynanchum,Apocynaceae
Rondeletia azulensis,Rondeletia,Rubiaceae
Himatanthus revolutus,Himatanthus,Apocynaceae
Gardenia cambodiana,Gardenia,Rubiaceae
Gardenia crameri,Gardenia,Rubiaceae
Gardenia leopoldiana,Gardenia,Rubiaceae
Gardenia magnifica,Gardenia,Rubiaceae
Gardenia racemulosa,Gardenia,Rubiaceae
Peponidium occidentale,Peponidium,Rubiaceae
Rondeletia vacciniifolia,Rondeletia,Rubiaceae
Rondeletia grandisepala,Rondeletia,Rubiaceae
Rondeletia × obscura,Rondeletia,Rubiaceae
Rondeletia peninsularis,Rondeletia,Rubiaceae
Rondeletia rohrii,Rondeletia,Rubiaceae
Cynanchum bosseri,Cynanchum,Apocynaceae
Cynanchum liukiuense,Cynanchum,Apocynaceae
Cynanchum masoalense,Cynanchum,Apocynaceae
Neoschumannia kamerunensis,Neoschumannia,Apocynaceae
Mitrasacme thedae,Mitrasacme,Loganiaceae
Rondeletia formonia,Rondeletia,Rubiaceae
Rondeletia incana,Rondeletia,Rubiaceae
Cynanchum quangbinhense,Cynanchum,Apocynaceae
Gardenia oudiepe,Gardenia,Rubiaceae
Gardenia resinifera,Gardenia,Rubiaceae
Mitrasacme nudicaulis,Mitrasacme,Loganiaceae
Rondeletia combsii,Rondeletia,Rubiaceae
Rondeletia minutifolia,Rondeletia,Rubiaceae
Rondeletia portlandensis,Rondeletia,Rubiaceae
Cynanchum goertsianum,Cynanchum,Apocynaceae
Cynanchum loheri,Cynanchum,Apocynaceae
Cynanchum ovalifolium,Cynanchum,Apocynaceae
Cynanchum peraffine,Cynanchum,Apocynaceae
Cynanchum praecox,Cynanchum,Apocynaceae
Cynanchum prevostii,Cynanchum,Apocynaceae
Cynanchum rungweense,Cynanchum,Apocynaceae
Rondeletia crassinervis,Rondeletia,Rubiaceae
Rondeletia ekmanii,Rondeletia,Rubiaceae
Rondeletia insularis,Rondeletia,Rubiaceae
Staelia uruguaya,Staelia,Rubiaceae
Steyermarkia guatemalensis,Steyermarkia,Rubiaceae
Gardenia angkorensis,Gardenia,Rubiaceae
Gardenia archboldiana,Gardenia,Rubiaceae
Gardenia mannii,Gardenia,Rubiaceae
Peponidium flavum,Peponidium,Rubiaceae
Mitrasacme geniculosa,Mitrasacme,Loganiaceae
Rondeletia liogieri,Rondeletia,Rubiaceae
Rondeletia nalgensis,Rondeletia,Rubiaceae
Staelia juarezii,Staelia,Rubiaceae
Cynanchum anthonyanum,Cynanchum,Apocynaceae
Cynanchum caudigerum,Cynanchum,Apocynaceae
Cynanchum hickenii,Cynanchum,Apocynaceae
Cynanchum marnierianum,Cynanchum,Apocynaceae
Cynanchum perrieri,Cynanchum,Apocynaceae
Cynanchum rioparanense,Cynanchum,Apocynaceae
Cynanchum szechuanense,Cynanchum,Apocynaceae
Etericius parasiticus,Etericius,Rubiaceae
Rondeletia avenia,Rondeletia,Rubiaceae
Staelia tocantinsiana,Staelia,Rubiaceae
Gardenia elata,Gardenia,Rubiaceae
Gardenia psidioides,Gardenia,Rubiaceae
Gardenia sootepensis,Gardenia,Rubiaceae
Rondeletia elegans,Rondeletia,Rubiaceae
Cynanchum bisinuatum,Cynanchum,Apocynaceae
Cynanchum hardyi,Cynanchum,Apocynaceae
Cynanchum pachycladon,Cynanchum,Apocynaceae
Cynanchum surrubriflorum,Cynanchum,Apocynaceae
Cynanchum warburgii,Cynanchum,Apocynaceae
Lomatogonium sichuanense,Lomatogonium,Gentianaceae
Rondeletia alaternoides,Rondeletia,Rubiaceae
Rondeletia amplexicaulis,Rondeletia,Rubiaceae
Rondeletia apiculata,Rondeletia,Rubiaceae
Rondeletia berteroana,Rondeletia,Rubiaceae
Rondeletia combsioides,Rondeletia,Rubiaceae
Rondeletia convoluta,Rondeletia,Rubiaceae
Rondeletia galanensis,Rondeletia,Rubiaceae
Rondeletia ingrata,Rondeletia,Rubiaceae
Gardenia faucicola,Gardenia,Rubiaceae
Gardenia reinwardtiana,Gardenia,Rubiaceae
Gardenia vernicosa,Gardenia,Rubiaceae
Gardenia beamanii,Gardenia,Rubiaceae
Mitrasacme oasena,Mitrasacme,Loganiaceae
Rondeletia carnea,Rondeletia,Rubiaceae
Rondeletia martinicensis,Rondeletia,Rubiaceae
Rondeletia pubescens,Rondeletia,Rubiaceae
Rondeletia subsessilifolia,Rondeletia,Rubiaceae
Catunaregam stenocarpa,Catunaregam,Rubiaceae
Cynanchum brevicoronatum,Cynanchum,Apocynaceae
Cynanchum crassiantherae,Cynanchum,Apocynaceae
Cynanchum erikseniae,Cynanchum,Apocynaceae
Cynanchum juliani-marnieri,Cynanchum,Apocynaceae
Cynanchum longipedunculatum,Cynanchum,Apocynaceae
Cynanchum pamirense,Cynanchum,Apocynaceae
Lomatogoniopsis ovatifolia,Lomatogoniopsis,Gentianaceae
Pseudomiltemia davidsonii,Pseudomiltemia,Rubiaceae
Cerbera dumicola,Cerbera,Apocynaceae
Rondeletia christii,Rondeletia,Rubiaceae
Rondeletia dolphinensis,Rondeletia,Rubiaceae
Rondeletia × incerta,Rondeletia,Rubiaceae
Gardenia mutabilis,Gardenia,Rubiaceae
Mitrasacme scrithicola,Mitrasacme,Loganiaceae
Mitrasacme hispida,Mitrasacme,Loganiaceae
Rondeletia microphylla,Rondeletia,Rubiaceae
Rondeletia steirophylloides,Rondeletia,Rubiaceae
Rondeletia subglabra,Rondeletia,Rubiaceae
Cynanchum bernardii,Cynanchum,Apocynaceae
Cynanchum kwangsiense,Cynanchum,Apocynaceae
Cynanchum megalanthum,Cynanchum,Apocynaceae
Neoschumannia gishwatiensis,Neoschumannia,Apocynaceae
Rondeletia americana,Rondeletia,Rubiaceae
Rondeletia arida,Rondeletia,Rubiaceae
Rondeletia brauseana,Rondeletia,Rubiaceae
Staelia glandulosa,Staelia,Rubiaceae
Gardenia resinosa,Gardenia,Rubiaceae
Gardenia scabrella,Gardenia,Rubiaceae
Gardenia trochainii,Gardenia,Rubiaceae
Peponidium perrieri,Peponidium,Rubiaceae
Mitrasacme lutea,Mitrasacme,Loganiaceae
Rondeletia polita,Rondeletia,Rubiaceae
Rondeletia potrerillona,Rondeletia,Rubiaceae
Rondeletia toaensis,Rondeletia,Rubiaceae
Cynanchum fernandezii,Cynanchum,Apocynaceae
Cynanchum heydei,Cynanchum,Apocynaceae
Cynanchum suluense,Cynanchum,Apocynaceae
Lomatogonium graciliflorum,Lomatogonium,Gentianaceae
Lomatogonium perenne,Lomatogonium,Gentianaceae
Rondeletia jamaicensis,Rondeletia,Rubiaceae
Rondeletia pseudorugelii,Rondeletia,Rubiaceae
Mitrasacme saxatilis,Mitrasacme,Loganiaceae
Mitrasacme glaucescens,Mitrasacme,Loganiaceae
Rondeletia pachyphylla,Rondeletia,Rubiaceae
Rondeletia glomeruliflora,Rondeletia,Rubiaceae
Rondeletia pallida,Rondeletia,Rubiaceae
Rondeletia fortunensis,Rondeletia,Rubiaceae
Cynanchum absconditum,Cynanchum,Apocynaceae
Cynanchum blyttioides,Cynanchum,Apocynaceae
Cynanchum dalhousiae,Cynanchum,Apocynaceae
Cynanchum haughtii,Cynanchum,Apocynaceae
Cynanchum moratii,Cynanchum,Apocynaceae
Cynanchum pietrangelii,Cynanchum,Apocynaceae
Rondeletia aurantiaca,Rondeletia,Rubiaceae
Rondeletia conferta,Rondeletia,Rubiaceae
Staelia galioides,Staelia,Rubiaceae
Pentasacme wallichii,Pentasacme,Apocynaceae
Gardenia anapetes,Gardenia,Rubiaceae
Gardenia gummifera,Gardenia,Rubiaceae
Gardenia hageniana,Gardenia,Rubiaceae
Gardenia kakaduensis,Gardenia,Rubiaceae
Gardenia moszkowskii,Gardenia,Rubiaceae
Gardenia tubifera,Gardenia,Rubiaceae
Mitrasacme kenneallyi,Mitrasacme,Loganiaceae
Mitrasacme exserta,Mitrasacme,Loganiaceae
Cynanchum eurychitoides,Cynanchum,Apocynaceae
Lathraeocarpa decaryi,Lathraeocarpa,Rubiaceae
Staelia harleyi,Staelia,Rubiaceae
Staelia schumannii,Staelia,Rubiaceae
Gardenia fusca,Gardenia,Rubiaceae
Gardenia obtusifolia,Gardenia,Rubiaceae
Gardenia tinneae,Gardenia,Rubiaceae
Peponidium pallidum,Peponidium,Rubiaceae
Lomatogonium pleurogynoides,Lomatogonium,Gentianaceae
Mitrasacme secedens,Mitrasacme,Loganiaceae
Mitrasacme nidulifera,Mitrasacme,Loganiaceae
Mitrasacme connata,Mitrasacme,Loganiaceae
Mitrasacme brachystemonea,Mitrasacme,Loganiaceae
Mitrasacme laxiceps,Mitrasacme,Loganiaceae
Cynanchum descoingsii,Cynanchum,Apocynaceae
Cynanchum guatemalense,Cynanchum,Apocynaceae
Cynanchum jaramilloi,Cynanchum,Apocynaceae
Cynanchum kingdonwardii,Cynanchum,Apocynaceae
Cynanchum macrolobum,Cynanchum,Apocynaceae
Cynanchum mariquitense,Cynanchum,Apocynaceae
Cynanchum montevidense,Cynanchum,Apocynaceae
Rondeletia areolata,Rondeletia,Rubiaceae
Rondeletia brachyantha,Rondeletia,Rubiaceae
Gardenia hansemannii,Gardenia,Rubiaceae
Gardenia sericea,Gardenia,Rubiaceae
Gardenia ternifolia,Gardenia,Rubiaceae
Peponidium cuspidatum,Peponidium,Rubiaceae
Gardenia chanii,Gardenia,Rubiaceae
Cynanchum bricenoi,Cynanchum,Apocynaceae
Cynanchum lopezpalaciosii,Cynanchum,Apocynaceae
Cynanchum minahassae,Cynanchum,Apocynaceae
Cynanchum moramangense,Cynanchum,Apocynaceae
Lomatogonium longifolium,Lomatogonium,Gentianaceae
Rondeletia heterochroa,Rondeletia,Rubiaceae
Gardenia ornata,Gardenia,Rubiaceae
Gardenia costulata,Gardenia,Rubiaceae
Gardenia gjellerupii,Gardenia,Rubiaceae
Gardenia lacciflua,Gardenia,Rubiaceae
Gardenia pyriformis,Gardenia,Rubiaceae
Gardenia subacaulis,Gardenia,Rubiaceae
Mitrasacme nummularia,Mitrasacme,Loganiaceae
Mitrasacme neglecta,Mitrasacme,Loganiaceae
Rondeletia pycnophylla,Rondeletia,Rubiaceae
Rondeletia roynaefolia,Rondeletia,Rubiaceae
Rondeletia umbellulata,Rondeletia,Rubiaceae
Rondeletia cacuminis,Rondeletia,Rubiaceae
Rondeletia chinajensis,Rondeletia,Rubiaceae
Rondeletia coronata,Rondeletia,Rubiaceae
Rondeletia mollis,Rondeletia,Rubiaceae
Rondeletia odorata,Rondeletia,Rubiaceae
Cynanchum acutum,Cynanchum,Apocynaceae
Cynanchum altiscandens,Cynanchum,Apocynaceae
Cynanchum appendiculatum,Cynanchum,Apocynaceae
Cynanchum boudieri,Cynanchum,Apocynaceae
Lomatogonium zhongdianense,Lomatogonium,Gentianaceae
Rondeletia bracteosa,Rondeletia,Rubiaceae
Rondeletia hypoleuca,Rondeletia,Rubiaceae
Gardenia saxatilis,Gardenia,Rubiaceae
Gardenia sokotensis,Gardenia,Rubiaceae
Mitrasacme epigaea,Mitrasacme,Loganiaceae
Rondeletia saxicola,Rondeletia,Rubiaceae
Rondeletia pilosa,Rondeletia,Rubiaceae
Cynanchum analamazaotrense,Cynanchum,Apocynaceae
Cynanchum lineare,Cynanchum,Apocynaceae
Rondeletia naguensis,Rondeletia,Rubiaceae
Rondeletia acunae,Rondeletia,Rubiaceae
Rondeletia filisepala,Rondeletia,Rubiaceae
