genus,family
Lucya,Rubiaceae
Paragenipa,Rubiaceae
Canephora,Rubiaceae
Pubistylus,Rubiaceae
Molopanthera,Rubiaceae
Jamaicanthus,Rubiaceae
Microphysa,Rubiaceae
Rhigospira,Apocynaceae
Chlorocyathus,Apocynaceae
Ephippiocarpa,Apocynaceae
Bahiella,Apocynaceae
Duvaliandra,Apocynaceae
Bothriospora,Rubiaceae
Spermadictyon,Rubiaceae
Exallosperma,Rubiaceae
Mussaendopsis,Rubiaceae
Rutidea,Rubiaceae
Gyrostelma,Apocynaceae
Kindia,Rubiaceae
Eizia,Rubiaceae
Didymochlamys,Rubiaceae
Kajewskiella,Rubiaceae
Allowoodsonia,Apocynaceae
Gillespiea,Rubiaceae
Potalia,Gentianaceae
Latouchea,Gentianaceae
Eucorymbia,Apocynaceae
Benzonia,Rubiaceae
Merumea,Rubiaceae
Hydnophytum,Rubiaceae
Dolicholobium,Rubiaceae
Tortuella,Rubiaceae
Temnopteryx,Rubiaceae
Telectadium,Apocynaceae
Nerium,Apocynaceae
Plocaniophyllon,Rubiaceae
Tetrapollinia,Gentianaceae
Lamprothamnus,Rubiaceae
Edithcolea,Apocynaceae
Calocrater,Apocynaceae
Bonyunia,Loganiaceae
Tulearia,Rubiaceae
Parapodium,Apocynaceae
Plectaneia,Apocynaceae
Campestigma,Apocynaceae
Schizoglossum,Apocynaceae
Ixodonerium,Apocynaceae
Xantonneopsis,Rubiaceae
Paracorynanthe,Rubiaceae
Dewevrella,Apocynaceae
Baharuia,Apocynaceae
Vailia,Apocynaceae
Dolichopetalum,Apocynaceae
Maguireocharis,Rubiaceae
Stilpnophyllum,Rubiaceae
Rhazya,Apocynaceae
Heynella,Apocynaceae
Sarcorrhiza,Apocynaceae
Lecariocalyx,Rubiaceae
Sherardia,Rubiaceae
Alberta,Rubiaceae
Cruckshanksia,Rubiaceae
Aripuana,Gentianaceae
Treutlera,Apocynaceae
Harmandiella,Apocynaceae
Chapelieria,Rubiaceae
Fernelia,Rubiaceae
Placocarpa,Rubiaceae
Streblosiopsis,Rubiaceae
Usteria,Loganiaceae
Pterygocalyx,Gentianaceae
Trailliaedoxa,Rubiaceae
Pseudocoptosperma,Rubiaceae
Jovetia,Rubiaceae
Phyllocrater,Rubiaceae
Tintinnabularia,Apocynaceae
Pseudonesohedyotis,Rubiaceae
Hypolobus,Apocynaceae
Margaretta,Apocynaceae
Mitrasacmopsis,Rubiaceae
Epistemma,Apocynaceae
Dunnia,Rubiaceae
Scyphostachys,Rubiaceae
Eriosemopsis,Rubiaceae
Klossia,Rubiaceae
Genipa,Rubiaceae
Patima,Rubiaceae
Gardeniopsis,Rubiaceae
Macbrideina,Rubiaceae
Pycnorhachis,Apocynaceae
Flexanthera,Rubiaceae
Tressensia,Apocynaceae
Hydrophylax,Rubiaceae
Mitriostigma,Rubiaceae
Vinca,Apocynaceae
Kerianthera,Rubiaceae
Pinarophyllon,Rubiaceae
Aleisanthiopsis,Rubiaceae
Asterostemma,Apocynaceae
Gonioma,Apocynaceae
Bruceholstia,Apocynaceae
Atherandra,Apocynaceae
Carajasia,Rubiaceae
Tamridaea,Rubiaceae
Phellocalyx,Rubiaceae
Gardneria,Loganiaceae
Geniostemon,Gentianaceae
Nautonia,Apocynaceae
Melanopsidium,Rubiaceae
Hodgkinsonia,Rubiaceae
Schistonema,Apocynaceae
Landiopsis,Rubiaceae
Maclaudia,Apocynaceae
Anthorrhiza,Rubiaceae
Pouchetia,Rubiaceae
Yanomamua,Gentianaceae
Gallienia,Rubiaceae
Stapelia,Apocynaceae
Opercularia,Rubiaceae
Gleasonia,Rubiaceae
Lelya,Rubiaceae
Mascarenhasia,Apocynaceae
Parepigynum,Apocynaceae
Ecua,Apocynaceae
Schizenterospermum,Rubiaceae
Farquharia,Apocynaceae
Octotropis,Rubiaceae
Trichostachys,Rubiaceae
Myrmecodia,Rubiaceae
Cordylogyne,Apocynaceae
Riodocea,Rubiaceae
Secamonopsis,Apocynaceae
Fanninia,Apocynaceae
Stephanostema,Apocynaceae
Pycnobotrya,Apocynaceae
Dendrosipanea,Rubiaceae
Balmea,Rubiaceae
Shaolinchiana,Rubiaceae
Mahawoa,Apocynaceae
Tetragonocarpus,Apocynaceae
Stylosiphonia,Rubiaceae
Tachia,Gentianaceae
Dichilanthe,Rubiaceae
Stachyarrhena,Rubiaceae
Neblinantha,Gentianaceae
Zygostelma,Apocynaceae
Zonanthus,Gentianaceae
Thamnoldenlandia,Rubiaceae
Urogentias,Gentianaceae
Decanema,Apocynaceae
Cosmocalyx,Rubiaceae
Paganuccia,Rubiaceae
Batesanthus,Apocynaceae
Periglossum,Apocynaceae
Gentianothamnus,Gentianaceae
Pseudomantalania,Rubiaceae
Cryptostegia,Apocynaceae
Thoreauea,Apocynaceae
Berghesia,Rubiaceae
Sipapoantha,Gentianaceae
Mortoniella,Apocynaceae
Temnocalyx,Rubiaceae
Ambelania,Apocynaceae
Amphistemon,Rubiaceae
Scyphiphora,Rubiaceae
Monosalpinx,Rubiaceae
Trichosandra,Apocynaceae
Dolichometra,Rubiaceae
Pycnosphaera,Gentianaceae
